dataset,cell_type_full,consensus_label,original_label,reannotation_type,predicted_label,pred_confidence,set_size_naive,set_size_structure,pattern
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.5615208242872863,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,bronchus fibroblast of lung,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.9999967647190219,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9446656199343025,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,natural killer cell,Innate lymphoid cell NK,None,Misannotated,Innate lymphoid cell NK,0.9044546292713176,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9878066667848384,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9979223322706497,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,pulmonary artery endothelial cell,EC arterial,EC venous,Misannotated,EC arterial,0.9971142003139265,1,0,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.769006628272516,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.999560818393286,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9996559279104009,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar adventitial fibroblast,Fibroblasts,Fibroblasts,Misannotated,Fibroblasts,0.9999996033753312,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.5706622033033922,2,2,B_catches_correction
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Innate lymphoid cell NK,Misannotated,T cell lineage,0.9983560421300408,1,1,B_catches_correction
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Secretory,Misannotated,Multiciliated lineage,0.9630166431492512,1,1,B_catches_correction
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9134448087241033,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9782819848676435,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9913346787090114,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9881198361075223,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,AT2,Misannotated,Multiciliated lineage,0.9978964598475103,1,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9992730561487457,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9998952745978376,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Innate lymphoid cell NK,Misannotated,T cell lineage,0.9380975110317921,1,1,B_catches_correction
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.979988879056925,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,pulmonary artery endothelial cell,EC arterial,EC capillary,Misannotated,EC capillary,0.997603537443212,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9590779256420251,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.994004600039808,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,lung macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.4122571553011759,3,2,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9979291477564319,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Monocytes,Misannotated,T cell lineage,0.9575747700133731,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9986039174543032,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.8900846525534847,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9998779753311257,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,T cell lineage,Misannotated,T cell lineage,0.9998866469166854,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.9731848544033691,1,1,B_catches_correction
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9484361407225198,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9960019345636411,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,pulmonary alveolar type 2 cell,AT2,None,Misannotated,AT2,0.9072606112048914,1,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9853005256737078,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9768681398648464,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9995519624154833,0,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC arterial,Misannotated,EC capillary,0.5983393677272344,3,2,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9459450086874848,0,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.721410238902708,2,2,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9991687835500399,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Fibroblasts,0.5162354779167942,2,2,C_predicts_something_else
Banovich_Kropski_2020,pulmonary artery endothelial cell,EC arterial,EC capillary,Misannotated,EC arterial,0.966172963332381,0,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9994719201154956,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9976875057764772,1,1,A_matches_original_wrong_label
